ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer
1,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp trong môi trường số là gì?,Giao tiếp qua điện thoại cố định,Giao tiếp bằng lời nói trực tiếp,Giao tiếp thông qua các nền tảng công nghệ số,Giao tiếp qua văn bản giấy,C,Giao tiếp thông qua các nền tảng công nghệ số
2,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp ngoại tuyến (offline) là hình thức giao tiếp nào?,Giao tiếp sử dụng Internet và mạng xã hội,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người",Chỉ giao tiếp qua các cuộc gọi điện thoại,Chỉ giao tiếp qua các ấn phẩm in,B,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người"
3,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Đâu là một ví dụ về giao tiếp trực tuyến?,Các cuộc họp mặt trực tiếp,Đọc báo in,Nghe đài phát thanh,Gửi thư điện tử (E-mail),D,Gửi thư điện tử (E-mail)
4,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Tương tác thông qua công nghệ số bao gồm hoạt động nào sau đây?,Hợp tác qua nền tảng số như Google Docs,Chỉ bao gồm các cuộc trò chuyện thông thường,Chỉ bao gồm việc tham gia các diễn đàn,Chỉ tương tác với trợ lý ảo,A,Hợp tác qua nền tảng số như Google Docs
5,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một trong những ý nghĩa của việc tương tác hiệu quả qua công nghệ số là gì?,Giảm khả năng hợp tác nhóm,Tăng nguy cơ bị lừa đảo,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số,Hạn chế việc tiếp cận tài nguyên học tập,C,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số
6,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) chủ yếu đề cập đến điều gì?",Các quy tắc về an ninh mạng,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến,Các luật lệ về bản quyền nội dung số,Các giao thức kỹ thuật cho internet,B,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến
7,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Một địa chỉ e-mail bao gồm hai phần là tên miền và tên địa phương, được phân tách bằng ký hiệu nào?",#,&,$,@,D,@
8,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp hiệu quả trên nền tảng số yêu cầu kỹ năng nào sau đây?,Chỉ cần sử dụng mạng xã hội,"Kỹ năng lắng nghe, phản hồi đúng lúc",Tạo ra nhiều nhóm chat,Dùng nhiều biểu tượng cảm xúc,B,"Kỹ năng lắng nghe, phản hồi đúng lúc"
9,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Tại sao tài khoản email được coi là ""chìa khóa"" để nhận dạng người dùng trực tuyến?",Vì nó là phương tiện giao tiếp duy nhất,Vì nó không yêu cầu mật khẩu,Vì nó có tính bảo mật tuyệt đối,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác",D,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác"
10,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hình thức nào sau đây KHÔNG phải là giao tiếp số?,Chat trực tuyến,Cuộc họp video qua zoom,Thư viết tay,Email,C,Thư viết tay
11,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Để giữ an toàn cho tài khoản email, một trong những biện pháp được khuyến nghị là gì?",Sử dụng cùng một mật khẩu cho tất cả các tài khoản,Tạo mật khẩu mạnh và bật bảo vệ hai lớp,Công khai địa chỉ email cá nhân ở mọi nơi,Không bao giờ thay đổi mật khẩu,B,Tạo mật khẩu mạnh và bật bảo vệ hai lớp
12,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) KHÔNG bao gồm nguyên tắc nào dưới đây?",Tôn trọng quyền riêng tư của người khác.,Đọc kỹ trước khi gửi để tránh sai sót.,Tham gia thảo luận một cách có trách nhiệm.,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.,D,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.
13,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi viết email công việc, dòng tiêu đề (Subject) nên",Để trống để tạo sự tò mò,"Viết dài, mô tả chi tiết toàn bộ nội dung email","Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính",Chỉ sử dụng các ký tự đặc biệt để nổi bật,C,"Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính"
14,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hợp tác số là gì?,Làm việc nhóm thông qua nền tảng số,Giao tiếp qua giấy tờ,Làm việc độc lập trên máy tính,Giao tiếp qua điện thoại cá nhân,A,Làm việc nhóm thông qua nền tảng số
15,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một lợi ích của hợp tác trong môi trường số là,Tăng thời gian xử lý công việc,"Làm việc mọi lúc, mọi nơi",Không cần người quản lý,Hạn chế chia sẻ tài liệu,B,"Làm việc mọi lúc, mọi nơi"
16,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Việc sử dụng chữ in đậm ở một số nội dung trong giao tiếp số thường được diễn giải là,Thể hiện sự chuyên nghiệp,Giúp người đọc dễ nhìn thấy hơn,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý,Hành động không hài lòng,C,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý
