ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,
1,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Theo định nghĩa của Microsoft, Trí tuệ nhân tạo (AI) là nỗ lực để tạo ra gì?",Tạo ra rô bốt có khả năng di chuyển và tương tác vật lý.,"Tạo ra một máy tính, rô bốt hoặc công nghệ khác ""suy nghĩ"" và xử lý dữ liệu theo cách giống như con người chúng ta.",Tạo ra phần mềm có khả năng lập trình tự động.,Tạo ra một hệ thống tự động hóa hoàn toàn các quy trình sản xuất.,B,"Tạo ra một máy tính, rô bốt hoặc công nghệ khác ""suy nghĩ"" và xử lý dữ liệu theo cách giống như con người chúng ta.",,,,,,,,,,,,,,,,
2,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Mục đích của Trí tuệ nhân tạo là gì?,Tăng tốc độ truyền tải và lưu trữ dữ liệu.,Tự động hóa các tác vụ lặp đi lặp lại.,Cải thiện khả năng kết nối giữa các thiết bị.,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, học tập và giải quyết vấn đề.",D,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, học tập và giải quyết vấn đề.",,,,,,,,,,,,,,,,
3,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong các năng lực sau, năng lực nào được coi là cốt lõi mà một module AI phải đáp ứng?",Thiết kế đồ họa và trực quan hóa dữ liệu.,Phân tích hồi quy và dự báo tài chính.,Lập trình và bảo trì hệ thống mạng.,"Suy diễn, học, giải quyết vấn đề, nhận thức và trí thông minh ngôn ngữ.",D,"Suy diễn, học, giải quyết vấn đề, nhận thức và trí thông minh ngôn ngữ.",,,,,,,,,,,,,,,,
4,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong bối cảnh chuyển đổi số, Trí tuệ nhân tạo (AI) thường được ví như bộ phận nào của con người?",Cơ bắp (Điện toán đám mây).,Giác quan (Internet vạn vật).,Hệ thần kinh.,Hệ thống miễn dịch (An ninh mạng).,C,Hệ thần kinh.,,,,,,,,,,,,,,,,
5,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Theo nghĩa hẹp, trí tuệ nhân tạo nhằm mục đích gì?",Thay thế hoàn toàn lao động trí óc của con người.,Tăng cường năng lực trí tuệ của con người.,Xử lý dữ liệu lớn trên các máy chủ ảo.,Phân tích các mối quan hệ xã hội phức tạp.,B,"""Tăng cường năng lực trí tuệ của con người"".",,,,,,,,,,,,,,,,
6,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Khi một hệ thống AI tích hợp nhiều module AI, nó bao gồm hai yếu tố chính nào?",Cơ sở dữ liệu và thuật toán.,Giao diện người dùng và phần cứng.,Tác nhân và môi trường xung quanh của nó.,Nền tảng Cloud và mạng lưới cảm biến.,C,Tác nhân và môi trường xung quanh của nó.,,,,,,,,,,,,,,,,
7,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Trí thông minh của các tác nhân AI được đo lường bằng khả năng nào của chúng?,Khả năng tự cập nhật phần mềm.,Khả năng tái chế thiết bị điện tử.,Khả năng tạo ra các mục tiêu và đạt được chúng.,Khả năng tương tác với các ứng dụng di động.,C,Khả năng tạo ra các mục tiêu và đạt được chúng.,,,,,,,,,,,,,,,,
8,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong bối cảnh AI, thuật toán học sâu dựa trên mô phỏng cấu trúc nào?",Cấu trúc phân cấp của tổ chức.,Cấu trúc phân tán của Internet.,Mạng nơ-ron và hoạt động của bộ não con người.,Cấu trúc quan hệ của cơ sở dữ liệu.,C,Mạng nơ-ron và hoạt động của bộ não con người.,,,,,,,,,,,,,,,,
9,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Thuật ngữ nào sau đây được xem là một nhánh của Trí tuệ nhân tạo, có mục tiêu làm cho máy móc có khả năng học tập như con người?",Lập trình hướng đối tượng.,Điện toán lượng tử.,Máy học (Machine Learning).,Chuỗi khối (Blockchain).,C,Máy học (Machine Learning).,,,,,,,,,,,,,,,,
10,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Trí tuệ nhân tạo giúp giải quyết vấn đề gì liên quan đến các cuộc họp tại công sở?,Giảm số lượng thành viên tham gia họp.,Trả lời những câu hỏi nền tảng để tiết kiệm thời gian họp.,Tự động hóa việc ghi biên bản cuộc họp.,Giảm chi phí tổ chức cuộc họp trực tuyến.,B,Trả lời những câu hỏi nền tảng để tiết kiệm thời gian họp.,,,,,,,,,,,,,,,,
11,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực sản xuất, AI có thể giúp tối ưu hóa hoạt động bằng cách nào?",Giảm thiểu nhu cầu về năng lực số của nhân viên.,Tăng cường sử dụng các công cụ phần mềm văn phòng.,Hỗ trợ bảo trì tiên đoán để tối ưu hóa kế hoạch bảo trì.,Tự động hóa hoàn toàn các quy trình kinh doanh.,C,Hỗ trợ bảo trì tiên đoán để tối ưu hóa kế hoạch bảo trì.,,,,,,,,,,,,,,,,
12,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ba module AI phải đáp ứng được năng lực nào sau đây?,"Suy diễn, Phân tích, Lập trình.","Suy diễn, Học, Giải quyết vấn đề.","Trình bày, Thấu cảm, Sáng tạo.","Lập trình, Tính toán, Tích hợp.",B,"Suy diễn, Học, Giải quyết vấn đề.",,,,,,,,,,,,,,,,
13,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Khả năng tạo ra các mục tiêu và đạt được chúng là thước đo cho điều gì trong hệ thống AI?,Khả năng xử lý dữ liệu.,Khả năng tương tác với người dùng.,Khả năng bảo mật hệ thống.,Trí thông minh của các tác nhân AI.,D,Trí thông minh của các tác nhân AI.,,,,,,,,,,,,,,,,
14,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Điều gì là nguồn gốc của sự phát triển đột phá trong Máy học (Machine Learning)?,Sự phát triển của hệ thống mạng 5G.,Sự phổ biến của thiết bị di động.,Dữ liệu ngày càng nhiều và năng lực tính toán ngày càng mạnh.,Sự gia tăng của các ứng dụng thương mại điện tử.,C,Dữ liệu ngày càng nhiều và năng lực tính toán ngày càng mạnh.,,,,,,,,,,,,,,,,
15,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong một hệ thống AI, các module AI được tích hợp phải đáp ứng năng lực về Trí thông minh ngôn ngữ, điều này liên quan đến khả năng nào?",Khả năng tạo ra nội dung đa phương tiện.,Khả năng viết mã lập trình phức tạp.,Khả năng nhận diện cảm xúc.,Khả năng xử lý ngôn ngữ tự nhiên.,D,Khả năng xử lý ngôn ngữ tự nhiên.,,,,,,,,,,,,,,,,
16,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực điều trị và chăm sóc sức khỏe, AI hỗ trợ bác sĩ trong quy trình nào sau đây?",Quản lý bảo hiểm y tế.,"Chẩn đoán, phát triển điều trị và thuốc.",Lập kế hoạch tài chính cho bệnh viện.,Xây dựng chính sách y tế công cộng.,B,"Chẩn đoán, phát triển điều trị và thuốc.",,,,,,,,,,,,,,,,
17,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Công nghệ IoMT (Internet of Medical Things) giúp gì trong lĩnh vực y tế?,Giảm chi phí sản xuất thiết bị y tế.,Chuẩn hóa quy trình cấp phép thuốc.,Giúp mọi công dân dễ dàng tiếp cận các dịch vụ chăm sóc sức khỏe.,Tăng cường bảo mật hồ sơ bệnh án.,C,Giúp mọi công dân dễ dàng tiếp cận các dịch vụ chăm sóc sức khỏe.,,,,,,,,,,,,,,,,
18,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực nông nghiệp, ứng dụng AI Sowing App powered dựa trên Microsoft Cortana Intelligence Suite giúp nông dân làm gì?",Tự động hóa hoàn toàn việc thu hoạch mùa màng.,Gửi lời khuyên về ngày tối ưu để gieo hạt.,Phân tích độ phức tạp của đất đai.,Xây dựng chiến lược marketing nông sản.,B,Gửi lời khuyên về ngày tối ưu để gieo hạt.,,,,,,,,,,,,,,,,
19,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Rô bốt nông nghiệp ứng dụng AI thường được lập trình để thực hiện nhiệm vụ gì?,Thiết kế cảnh quan nông trại.,Thu hoạch mùa màng công suất lớn.,Phân tích xu hướng thị trường nông sản.,Quản lý chuỗi cung ứng toàn cầu.,B,Thu hoạch mùa màng công suất lớn.,,,,,,,,,,,,,,,,
20,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong quản lý đại lý bán lẻ, ứng dụng AI có thể tối ưu hóa hoạt động kinh doanh trong các lĩnh vực nào?",Tuyển dụng nhân sự và quản lý tiền lương.,Lập kế hoạch chuỗi cung ứng và dự báo nhu cầu khách hàng.,Xây dựng thương hiệu và quản lý khủng hoảng truyền thông.,Kiểm soát chất lượng sản phẩm nhập khẩu.,B,Lập kế hoạch chuỗi cung ứng và dự báo nhu cầu khách hàng.,,,,,,,,,,,,,,,,
