ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Thư viện Python nào đóng vai trò nền tảng để biểu diễn hình ảnh dưới dạng các mảng đa chiều trong bộ nhớ máy tính?","Pandas (Python Data Analysis Library).","NumPy (Numerical Python).","Matplotlib (Plotting Library).","Scikit-learn (Machine Learning).",B,"NumPy cung cấp cấu trúc mảng N-chiều (ndarray) hiệu năng cao, là nền tảng để OpenCV và các thư viện khác lưu trữ và xử lý dữ liệu điểm ảnh."
2,"Khi sử dụng hàm cv2.imread() để đọc một bức ảnh màu, OpenCV mặc định sắp xếp các kênh màu theo thứ tự nào?","R-G-B (Red - Green - Blue).","C-M-Y (Cyan - Magenta - Yellow).","B-G-R (Blue - Green - Red).","H-S-V (Hue - Saturation - Value).",C,"Do lịch sử phát triển, OpenCV sử dụng chuẩn BGR (Blue-Green-Red) làm mặc định, ngược với chuẩn RGB phổ biến trên web và các thư viện khác."
3,"Lệnh cv2.waitKey(0) có ý nghĩa gì khi hiển thị ảnh trong cửa sổ giao diện?","Chờ đúng 0 mili-giây rồi tự động đóng cửa sổ hiển thị ngay lập tức.","Chờ người dùng nhấn một phím bất kỳ vô hạn thời gian trước khi tiếp tục.","Chờ cho đến khi video phát hết toàn bộ các khung hình rồi mới dừng lại.","Khởi động lại hệ thống cửa sổ hiển thị về trạng thái ban đầu (reset).",B,"Tham số 0 (hoặc số âm) trong cv2.waitKey() nghĩa là ""chờ vô hạn"" cho đến khi có sự kiện bàn phím xảy ra."
4,"Để truy cập vào webcam mặc định của máy tính, tham số nào cần được truyền vào hàm cv2.VideoCapture()?","Đường dẫn file video (ví dụ: ""webcam.mp4"").","Số nguyên 0 (hoặc -1).","Địa chỉ IP của camera mạng.","Tên thiết bị (ví dụ: ""USB Camera"").",B,"Trong OpenCV, chỉ số 0 đại diện cho camera mặc định (thường là webcam tích hợp) đầu tiên được tìm thấy trên hệ thống."
5,"Tại sao khi sử dụng plt.imshow() của Matplotlib để hiển thị trực tiếp ảnh vừa đọc bằng OpenCV, màu sắc thường bị sai (ví dụ: da người bị ám xanh dương)?","Do Matplotlib không hỗ trợ độ phân giải cao như OpenCV.","Do định dạng file ảnh gốc bị lỗi trong quá trình tải về.","Do sự sai lệch thứ tự kênh màu (OpenCV là BGR, Matplotlib là RGB).","Do màn hình máy tính chưa được hiệu chỉnh màu sắc chính xác.",C,"Do lệch chuẩn hiển thị: Matplotlib mong đợi dữ liệu dạng RGB, nhưng OpenCV lại cung cấp dữ liệu dạng BGR, dẫn đến việc kênh Đỏ và Xanh bị hoán đổi."
6,"Cách kiểm tra an toàn nhất để biết một bức ảnh có được đọc thành công bằng cv2.imread hay không là gì?","Kiểm tra xem tên file có kết thúc bằng .jpg hay không.","Kiểm tra xem biến chứa ảnh có giá trị là None hay không.","Kiểm tra kích thước file trên ổ đĩa cứng trước khi đọc.","Sử dụng hàm cv2.isShow() để xem ảnh có hiện lên không.",B,"Nếu đường dẫn sai hoặc file hỏng, cv2.imread() sẽ không báo lỗi mà trả về giá trị None. Do đó cần kiểm tra ""if img is None""."
7,"Để truy cập giá trị của một điểm ảnh (pixel) tại hàng y và cột x trong mảng ảnh img, cú pháp nào sau đây là đúng?","value = img(x, y)","value = img[x, y]","value = img[y, x]","value = img.get(x, y)",C,"Mảng NumPy đánh chỉ số theo (hàng, cột) tương ứng với tọa độ (y, x). Do đó cú pháp đúng là img[y, x]."
8,"Trong bài tập ghi video 10 giây, nếu camera hoạt động ở tốc độ 30 FPS, vòng lặp ghi hình cần chạy bao nhiêu lần?","10 lần.","30 lần.","100 lần.","300 lần.",D,"Tổng số khung hình = Thời gian (giây) * Tốc độ (FPS) = 10 * 30 = 300 khung hình."
9,"Khi khởi tạo đối tượng cv2.VideoWriter để ghi video, tham số nào quyết định định dạng mã hóa (codec) của file đầu ra?","Tốc độ khung hình (FPS).","Mã FourCC (ví dụ: 'MJPG', 'XVID').","Kích thước khung hình (Frame Size).","Tên file đầu ra.",B,"FourCC (4-character code) là mã 4 ký tự xác định codec nén video (ví dụ: MJPG, X264, DIVX) được sử dụng để ghi file."
10,"Lệnh img.shape trả về kết quả là (480, 640, 3). Thông số này có ý nghĩa gì?","Ảnh có chiều rộng 480, chiều cao 640 và 3 kênh màu.","Ảnh có chiều cao 480, chiều rộng 640 và 3 kênh màu.","Ảnh có độ phân giải 480x640 và dung lượng 3 MB.","Ảnh có 480 lớp, 640 điểm ảnh và 3 hệ màu.",B,"Thuộc tính shape của NumPy trả về tuple (chiều cao/số hàng, chiều rộng/số cột, số kênh)."
