ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,,,,
1,Module 3. Sáng tạo nội dung số,3,1,"Theo tài liệu, mục tiêu của Module 3: ""Phát triển nội dung số"" là gì?",Trang bị khả năng phân tích mục tiêu và đối tượng người dùng.,Hướng dẫn quy trình rà soát và đánh giá tài nguyên nội dung đã có.,Cung cấp kiến thức nền tảng về bản quyền số.,Giúp làm quen với lập trình Python cơ bản.,A,Trang bị khả năng phân tích mục tiêu và đối tượng người dùng.,,,,,,,,,,,,,,,,,,,
2,Module 3. Sáng tạo nội dung số,3,1,"""Kim chỉ nam"" cho mọi hoạt động sáng tạo nội dung hiệu quả là gì?","Hiểu rõ ""làm nội dung cho ai?"" và ""để làm gì?"".",Nắm vững các công cụ sản xuất nội dung hiện đại.,Có khả năng thiết kế hình ảnh bắt mắt.,Biết cách viết kịch bản video hấp dẫn.,A,"Hiểu rõ ""làm nội dung cho ai?"" và ""để làm gì?"".",,,,,,,,,,,,,,,,,,,
3,Module 3. Sáng tạo nội dung số,3,1,Mục tiêu nội dung số SMART bao gồm những yếu tố nào?,"Specific, Measurable, Achievable, Relevant, Time-bound.","Simple, Memorable, Attractive, Readable, Timely.","Strategic, Modern, Appealing, Realistic, Thoughtful.","Short, Meaningful, Actionable, Relatable, Teachable.",A,"Specific, Measurable, Achievable, Relevant, Time-bound.",,,,,,,,,,,,,,,,,,,
4,Module 3. Sáng tạo nội dung số,3,1,Yếu tố nào KHÔNG thuộc 3 yếu tố chính để xây dựng Chân dung người dùng (User Persona)?,Nhân khẩu học,Tâm lý học,Thói quen số (Digital Habits),Tình trạng hôn nhân,D,Tình trạng hôn nhân,,,,,,,,,,,,,,,,,,,
5,Module 3. Sáng tạo nội dung số,3,1,Hậu quả của việc không xác định rõ ràng mục tiêu và đối tượng là gì?,"Nội dung không tiếp cận đúng người cần, thông điệp không hiệu quả.",Chi phí sản xuất nội dung tăng cao.,Thời gian sản xuất nội dung kéo dài.,Khó khăn trong việc lựa chọn công cụ sản xuất.,A,"Nội dung không tiếp cận đúng người cần, thông điệp không hiệu quả.",,,,,,,,,,,,,,,,,,,
6,Module 3. Sáng tạo nội dung số,3,1,"Chuẩn đầu ra của phần ""Phân tích mục tiêu và đối tượng"" là gì?",Sinh viên có khả năng xác định mục tiêu và đối tượng một cách rõ ràng.,Sinh viên có khả năng lập kế hoạch nội dung chi tiết.,Sinh viên biết cách sử dụng các công cụ sản xuất nội dung.,Sinh viên hiểu về các loại giấy phép bản quyền.,A,Sinh viên có khả năng xác định mục tiêu và đối tượng một cách rõ ràng.,,,,,,,,,,,,,,,,,,,
7,Module 3. Sáng tạo nội dung số,3,1,Việc lập kế hoạch nội dung được so sánh với hoạt động nào?,Lập kế hoạch cho một chuyến đi – cần bản đồ và phương tiện.,Xây một ngôi nhà – cần nền móng vững chắc.,Nấu một món ăn – cần công thức và nguyên liệu.,Viết một cuốn sách – cần ý tưởng và cốt truyện.,A,Lập kế hoạch cho một chuyến đi – cần bản đồ và phương tiện.,,,,,,,,,,,,,,,,,,,
8,Module 3. Sáng tạo nội dung số,3,1,Kế hoạch nội dung dài hạn thường được xác định theo khung thời gian nào?,Năm,Quý/Tháng,Tuần/Ngày,Giờ,A,Năm,,,,,,,,,,,,,,,,,,,
9,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào sau đây KHÔNG được gợi ý để hỗ trợ lập kế hoạch nội dung?,Năm,Adobe Photoshop,Notion,Trello,B,Adobe Photoshop,,,,,,,,,,,,,,,,,,,
10,Module 3. Sáng tạo nội dung số,3,1,Ưu điểm chính của định dạng nội dung Infographic là gì?,"Trực quan, dễ chia sẻ","Cung cấp thông tin chi tiết, tốt cho SEO","Tương tác cao, hấp dẫn","Tiện lợi, có thể nghe khi làm việc khác",A,"Trực quan, dễ chia sẻ",,,,,,,,,,,,,,,,,,,
11,Module 3. Sáng tạo nội dung số,3,1,Nhược điểm của định dạng nội dung Video là gì?,Tốn công sản xuất,Cần thời gian đọc,Phức tạp khi tạo,Khó tiếp cận người không thích nghe,A,Tốn công sản xuất,,,,,,,,,,,,,,,,,,,
12,Module 3. Sáng tạo nội dung số,3,1,Tiêu chí nào KHÔNG phải là tiêu chí để lựa chọn loại nội dung phù hợp?,Mục tiêu nội dung,Đối tượng,Sở thích cá nhân của người tạo nội dung,Nền tảng phân phối,C,Sở thích cá nhân của người tạo nội dung,,,,,,,,,,,,,,,,,,,
13,Module 3. Sáng tạo nội dung số,3,1,Việc lập kế hoạch nội dung được ví như là gì cho hoạt động sáng tạo?,"Một ""bộ khung"" vững chắc","Một ""nền móng"" vững chắc","Một ""bản đồ"" chỉ đường","Một ""công thức"" thành công",A,"Một ""bộ khung"" vững chắc",,,,,,,,,,,,,,,,,,,
14,Module 3. Sáng tạo nội dung số,3,1,"Yếu tố nào sau đây KHÔNG phải là một tiêu chí của ""nội dung có giá trị thật sự""?",Giúp đỡ/Cung cấp giải pháp,Giải trí,Luôn tạo ra tranh cãi để thu hút chú ý,Truyền cảm hứng,C,Luôn tạo ra tranh cãi để thu hút chú ý,,,,,,,,,,,,,,,,,,,
15,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào được gợi ý để hỗ trợ việc viết nội dung hấp dẫn?,Grammarly,CapCut,Canva,Audacity,A,Grammarly,,,,,,,,,,,,,,,,,,,
16,Module 3. Sáng tạo nội dung số,3,1,"Để thiết kế hình ảnh bắt mắt, công cụ nào sau đây được gợi ý cho người mới bắt đầu?",Canva,Adobe Photoshop,Adobe Illustrator,DaVinci Resolve,A,Canva,,,,,,,,,,,,,,,,,,,
17,Module 3. Sáng tạo nội dung số,3,1,CapCut và KineMaster là các công cụ hỗ trợ cho việc gì?,Quay/chỉnh sửa video trên di động,Chỉnh sửa âm thanh chuyên nghiệp,Thiết kế đồ họa vector,Quản lý dự án nội dung,A,Quay/chỉnh sửa video trên di động,,,,,,,,,,,,,,,,,,,
18,Module 3. Sáng tạo nội dung số,3,1,Giai đoạn nào quyết định phần lớn sự thành công của nội dung?,Chất lượng sản xuất,Lập kế hoạch,Phân tích đối tượng,Phân phối nội dung,A,Chất lượng sản xuất,,,,,,,,,,,,,,,,,,,
19,Module 3. Sáng tạo nội dung số,3,1,"""Tích hợp và tạo lập lại nội dung số"" là gì?","Rà soát, đánh giá tài nguyên nội dung đã có, đồng thời cung cấp phương pháp thiết kế khung và biên tập, chuyển đổi nội dung sang các định dạng mới phù hợp.",Tập trung vào việc sản xuất các loại nội dung mới.,Cung cấp kiến thức về bản quyền và giấy phép.,Hướng dẫn lập trình Python cơ bản.,A,"Rà soát, đánh giá, thiết kế lại và biên tập nội dung đã có.",,,,,,,,,,,,,,,,,,,
20,Module 3. Sáng tạo nội dung số,3,1,Bước đầu tiên trong quy trình rà soát và đánh giá nội dung đã có là gì?,Thu thập tất cả nội dung số liên quan.,Phân loại nội dung theo chủ đề.,Đánh giá độ phù hợp của nội dung.,Loại bỏ các nội dung lỗi thời.,A,Thu thập tất cả nội dung số liên quan.,,,,,,,,,,,,,,,,,,,
21,Module 3. Sáng tạo nội dung số,3,1,"""Evergreen content"" (Nội dung xanh) là loại nội dung gì?","Nội dung có giá trị bền vững, không lỗi thời.",Nội dung cần được cập nhật thường xuyên.,Nội dung đã lỗi thời và không còn phù hợp.,Nội dung chỉ có giá trị trong một thời gian ngắn.,A,"Nội dung có giá trị bền vững, không lỗi thời.",,,,,,,,,,,,,,,,,,,
22,Module 3. Sáng tạo nội dung số,3,1,Tiêu chí nào được xem là quan trọng nhất khi phân loại nội dung đã có?,Độ cập nhật,Định dạng,Chủ đề,Nguồn gốc,A,Độ cập nhật,,,,,,,,,,,,,,,,,,,
23,Module 3. Sáng tạo nội dung số,3,1,"Khi đánh giá độ phù hợp của nội dung, câu hỏi nào sau đây KHÔNG cần đặt ra?",Nội dung này có được nhiều lượt thích không?,Nội dung có phù hợp với mục tiêu mới không?,Nội dung có còn chính xác không?,Đối tượng mục tiêu có trùng khớp không?,A,Nội dung này có được nhiều lượt thích không?,,,,,,,,,,,,,,,,,,,
24,Module 3. Sáng tạo nội dung số,3,1,Lợi ích của việc rà soát và đánh giá nội dung là gì?,"Tiết kiệm nguồn lực, tăng hiệu quả, đảm bảo chất lượng.",Tăng chi phí sản xuất nhưng chất lượng cao hơn.,Giảm thời gian lập kế hoạch cho nội dung mới.,Tăng số lượng nội dung được sản xuất.,A,"Tiết kiệm nguồn lực, tăng hiệu quả, đảm bảo chất lượng.",,,,,,,,,,,,,,,,,,,
25,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào KHÔNG được dùng để xây dựng khung nội dung mới?,Dàn ý (Outline),Storyboard,Kịch bản chi tiết,Bảng màu (Color Palette),D,Bảng màu (Color Palette),,,,,,,,,,,,,,,,,,,
