ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer
1,"Mô hình camera đơn giản nhất về mặt hình học được sử dụng trong thị giác máy tính để mô tả quá trình tạo ảnh là gì?","Mô hình Camera mắt cá (Fisheye Camera Model).","Mô hình Camera lỗ kim (Pinhole Camera Model).","Mô hình Camera toàn cảnh (Panoramic Camera Model).","Mô hình Camera lập thể (Stereo Camera Model).",B
2,"Quá trình ""Số hóa"" (Digitization) chuyển đổi một cảnh liên tục thành ảnh số bao gồm hai bước chính nào?","Lấy mẫu (Sampling) và Lượng tử hóa (Quantization).","Lọc nhiễu (Filtering) và Nén dữ liệu (Compression).","Phơi sáng (Exposure) và Cân bằng trắng (White Balance).","Chụp ảnh (Capturing) và Lưu trữ (Storing).",A
3,"Trong thư viện OpenCV, một bức ảnh màu mặc định được lưu trữ trong bộ nhớ theo thứ tự kênh màu nào?","R-G-B (Red - Green - Blue).","C-M-Y (Cyan - Magenta - Yellow).","B-G-R (Blue - Green - Red).","H-S-V (Hue - Saturation - Value).",C
4,"Thư viện Python nào đóng vai trò là công cụ lõi để xử lý ảnh dưới dạng các mảng đa chiều (ma trận số)?","Matplotlib.","NumPy.","Scikit-learn.","Pandas.",B
5,"Không gian màu nào được tạo ra bằng cách kết hợp ba nguồn sáng cơ bản: Đỏ, Lục và Lam?","Không gian màu CMYK.","Không gian màu HSV.","Không gian màu Grayscale.","Không gian màu RGB.",D
6,"Một điểm ảnh (Pixel) trong ảnh số được định nghĩa là gì?","Một đơn vị đo chiều dài vật lý trên cảm biến camera.","Một phần tử ảnh nhỏ nhất mang giá trị số biểu thị cường độ sáng hoặc màu sắc.","Một hình vuông nhỏ nhất có thể nhìn thấy được bằng mắt thường trên màn hình.","Một vector chỉ hướng của ánh sáng đi vào ống kính camera.",B
7,"Trong mô hình camera lỗ kim, mối quan hệ giữa tọa độ ảnh (x), tiêu cự (f), tọa độ thực tế (X) và độ sâu (Z) là gì?","Tọa độ ảnh x tỉ lệ nghịch với tiêu cự f và tỉ lệ thuận với độ sâu Z.","Tọa độ ảnh x tỉ lệ thuận với tiêu cự f và tỉ lệ nghịch với độ sâu Z.","Tọa độ ảnh x bằng tổng của tiêu cự f và độ sâu Z.","Tọa độ ảnh x không phụ thuộc vào độ sâu Z của vật thể.",B
8,"Nhược điểm chính của không gian màu RGB khi áp dụng vào các thuật toán nhận dạng vật thể là gì?","Không thể biểu diễn được màu trắng và màu đen tuyệt đối.","Thông tin về màu sắc và độ sáng bị trộn lẫn, khiến nó nhạy cảm với thay đổi ánh sáng.","Số lượng màu sắc có thể biểu diễn bị giới hạn chỉ trong 256 màu.","Tốn nhiều dung lượng bộ nhớ lưu trữ hơn so với các không gian màu khác.",B
9,"Trong không gian màu HSV, thành phần ""Saturation"" (Độ bão hòa) biểu thị điều gì?","Loại màu sắc cơ bản (ví dụ: đỏ, xanh, vàng).","Độ sáng tối của màu sắc (tương đương với mức xám).","Độ tinh khiết hoặc độ đậm nhạt của màu (pha bao nhiêu màu xám).","Góc chiếu của ánh sáng lên bề mặt vật thể.",C
10,"Tham số nội tại (Intrinsic Parameters) của camera bao gồm những thông tin gì?","Vị trí và hướng quay của camera trong không gian thế giới thực.","Tiêu cự, tọa độ tâm quang học và độ xiên của trục cảm biến.","Độ phân giải màn hình hiển thị và tốc độ khung hình video.","Độ mở ống kính (khẩu độ) và thời gian phơi sáng.",B
11,"Nếu một ảnh màu có kích thước 100 x 100 pixel, nó sẽ được biểu diễn trong NumPy dưới dạng ma trận có kích thước (shape) là bao nhiêu?","(100, 100)","(3, 100, 100)","(100, 100, 3)","(10000, 3)",C
