ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Chủ đề chính của Tiết 2, Chương 3 trong môn học Thị giác máy tính là gì?","Phân đoạn ảnh dựa trên phân cụm.","Nâng cấp và lọc nhiễu ảnh đa chiều.","Tạo mô hình AI cho ảnh nghệ thuật.","Nhị phân hóa ảnh hoàn toàn tự động.",A,"Tiết 2 học một cách phân chia ảnh thông minh hơn, đó là: Phân đoạn dựa trên phân cụm."
2,"Phương pháp phân cụm thuộc nhóm thuật toán nào trong Trí tuệ nhân tạo?","Học máy tăng cường liên tục dựa trên môi trường thử nghiệm.","Học sâu giám sát với mạng nơ-ron dày đặc và dữ liệu khổng lồ.","Học không giám sát, tự tìm ra cấu trúc nhóm ảnh giống nhau.","Học có chỉ đạo thông qua hàng ngàn mẫu nhãn dán cho hệ thống.",C,"Đặc điểm quan trọng nhất là đây là phương pháp Học không giám sát (Unsupervised Learning)."
3,"Ý tưởng cốt lõi của việc ""phân cụm"" (clustering) là gì?","Dán nhãn trước cho mọi thành phần vật thể xuất hiện trên bức hình nghệ thuật số.","Nhóm các pixel có đặc tính tương đồng như màu sắc vào cùng chung một cụm.","Tăng cường độ phân giải chi tiết đa không gian cho tất cả ma trận pixel của một bức hình.","Tách các lớp ảnh màu độc lập hoàn toàn thoát khỏi hệ màu nguyên bản RGB của thiết bị.",B,"Ý tưởng cốt lõi là nhóm các pixel có đặc tính tương đồng như màu sắc, cường độ hay kết cấu vào cùng một 'cụm'."
4,"Lợi thế lớn nhất của phương pháp ""Học không giám sát"" trong nhận dạng ảnh là gì?","Có thể phân tích video thời gian thực siêu mượt không cần mạng lưu trữ.","Tự tìm cấu trúc nội tại của dữ liệu ảnh mà không cần dán nhãn thủ công trước.","Xử lý các cụm đồ vật bằng robot tự động có gắn camera đo lường kích thước.","Giải thích chính xác hoàn toàn từ ngữ của bức ảnh được chụp từ trên cao không trung.",B,"Máy tính sẽ tự tìm ra cấu trúc nội tại của dữ liệu ảnh mà không cần dán nhãn trước."
5,"Thuật toán K-Means cố gắng đạt được mục tiêu toán học cơ bản nào?","Tách bạch hoàn toàn vùng biên sắc nét trên mọi kênh màu sắc hệ màu riêng rẽ RGB.","Tối thiểu hóa tổng bình phương khoảng cách từ mỗi pixel đến tâm cụm tập trung.","Phóng to kích thước ma trận số lưu trữ để làm rõ từng vùng đồ thị chênh lệch độ nhạy.","Tối đa hóa khoảng cách biên bảo vệ giữa các mảng màu khác biệt của môi trường lập.",B,"K-Means cố gắng tối thiểu hóa tổng bình phương khoảng cách từ mỗi điểm đến tâm cụm thay vì các quy tắc lỏng lẻo."
6,"Trong thuật toán K-Means, con số tham số K đại diện cho điều gì?","Là số lần thuật toán sẽ lặp lại liên tục cho đến khi tạo ra được một cấu hình ảnh 3D.","K chính là số lượng vùng (hay lượng màu) mà người dùng muốn được phân đoạn ra.","Số trục tọa độ không gian ma trận mà một điểm ảnh sẽ được chiếu lên hệ thống phân giải.","Số bước tối ưu hóa của những hệ số điều chỉnh bộ lọc màu bằng mô hình học máy chuyên sâu.",B,"K chính là số lượng vùng (hay số lượng màu) mà em muốn phân đoạn ra."
7,"Việc chọn điểm ngẫu nhiên để làm tâm cụm ban đầu trong thuật toán sẽ dẫn đến nguy cơ gì?","Phá vỡ cấu trúc phần cứng gây nhiễu sóng từ trường và phá hỏng cụm cảm biến máy ảnh số.","Tâm khởi tạo tồi dẫn tới kết quả cũng bị sai lệch đi và đôi khi thuật toán rơi vào trạng thái bế tắc.","Gây mất vĩnh viễn toàn bộ dữ liệu máy tính mà người dùng đang thao tác xử lý hình ảnh chụp đó.","Kích hoạt cơ chế tự khóa file hình ảnh để nhằm bảo mật các quy trình thuật toán máy học không giám sát.",B,"Việc khởi tạo ban đầu ngẫu nhiên ảnh hưởng rất lớn đến kết quả cuối cùng, có thể làm bị hội tụ sai lệch."
8,"Thao tác ""Gán nhãn"" trong K-Means đồng nghĩa với việc mỗi pixel thuộc về điều kiện tâm nào?","Tâm cụm có lượng dữ liệu điểm ảnh lưu trữ ở giới hạn lớn nhất tính từ thời điểm ban đầu.","Tâm cụm mà nếu đem so sánh khoảng cách từ nó đến với tâm điểm cụm đó là cực kỳ nhỏ nhất.","Tâm cụm mà chỉ số cường độ hiển thị phổ màu trung bình đạt ngưỡng cao nhất trong hệ màu RGB.","Tâm cụm được máy thiết lập một cách cực kỳ ngẫu nhiên và rời rạc theo các quy tắc thiết lập mặc định.",B,"Với mỗi pixel trong ảnh, tính khoảng cách đến tất cả K tâm cụm. Pixel ở gần nhất sẽ được gán vào cụm đó."
9,"Sau quá trình ""Gán nhãn"" đồng loạt bước thứ 2, thuật toán sẽ thực hiện thao tác cơ bản nào?","""Cập nhật tâm cụm"" bằng cách tính trung bình cộng tọa độ toàn pixel nhóm đó.","""Tăng cường độ tối"" để đảm bảo tâm không bao giờ bị ảnh hưởng bởi luồng ánh sáng chênh lệch.","Trực tiếp khởi chạy khởi động lại toàn bộ hệ thống từ đầu để so sánh sự khác biệt của tất cả kết quả.","Gộp lại tất cả những cụm pixel vừa mới được hệ thống phân loại thành một cụm siêu to khổng lồ duy nhất.",A,"Bước 3 là lấy trung bình cộng tọa độ màu của tất cả pixel trong nhóm để cập nhật và tạo một vị trí tâm cụm mới."
10,"Khi nào thì quá trình thuật toán K-Means sẽ ngừng vòng lặp lại liên tục (gọi là hội tụ lại)?","Khi mà thời gian thực thi dành để thuật toán phân tích điểm ảnh chuẩn bị vượt qua hạn mức năm phút.","Khi dung lượng bộ nhớ tạm thời RAM của hệ thống sẽ cạn kiệt và bị lệnh gián đoạn vì lý do phòng chống quá tải.","Khi mà tọa độ vị trí của các tâm cụm đại diện cho nhóm màu sắc pixel gần như hầu như không còn thay đổi.","Giây phút ảnh ma trận gốc đã được hệ thống làm mờ chính xác đúng theo từng tỷ lệ cấu trúc bằng hệ thống máy học.",C,"Chúng ta lặp lại... cho đến khi vị trí các tâm cụm không còn thay đổi đáng kể nữa, ta gọi là hội tụ."
