ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Tại sao máy tính không nên phân tích từng pixel thô để nhận diện đối tượng trong ảnh?","Vì pixel thô chứa quá nhiều dữ liệu thừa và nhiễu, gây quá tải hệ thống xử lý.","Vì pixel thô không thể lưu trữ bằng các định dạng phổ biến như JPEG hay PNG hiện nay.","Vì pixel thô chỉ hoạt động với ảnh đen trắng mà không hỗ trợ ảnh màu ba kênh RGB.","Vì pixel thô yêu cầu phải kết nối internet liên tục để truyền dữ liệu lên máy chủ.",A,"Một ảnh 1080p sinh ra tới 6 triệu con số thô. Máy tính sẽ bị sụp đổ bởi quá tải từ nhiễu và dữ liệu thừa thãi không mang lại ý nghĩa, do đó cần tìm các điểm nhấn mang tính đại diện."
2,"Theo giáo sư Szeliski (2022), đặc trưng (Feature) trong thị giác máy tính được định nghĩa là gì?","Là mẫu thông tin có ý nghĩa, mang tính định lượng, được trích xuất từ hình ảnh.","Là toàn bộ ma trận pixel thô được thu nhận trực tiếp từ cảm biến camera kỹ thuật số.","Là phần mềm chuyên dụng giúp nâng cao độ phân giải và cải thiện chất lượng hình ảnh.","Là thiết bị phần cứng quang học được thiết kế riêng biệt để lọc bỏ nhiễu tín hiệu.",A,"Đặc trưng là mẫu thông tin có ý nghĩa, mang tính định lượng, được trích xuất từ hình ảnh để giúp đơn giản hóa việc biểu diễn dữ liệu phức tạp."
3,"Đặc trưng cục bộ (Local Feature) có ưu điểm gì nổi bật so với đặc trưng toàn cục (Global Feature)?","Đặc trưng cục bộ có khả năng kháng che khuất tốt hơn nhờ chỉ phụ thuộc vào vùng nhỏ.","Đặc trưng cục bộ có tốc độ tính toán nhanh hơn gấp nhiều lần so với đặc trưng toàn cục.","Đặc trưng cục bộ không cần bất kỳ thuật toán toán học nào để có thể trích xuất ra được.","Đặc trưng cục bộ hoạt động hiệu quả trên mọi loại ảnh mà không cần tiền xử lý gì cả.",A,"Đặc trưng cục bộ chỉ đại diện cho các điểm hoặc vùng cụ thể, cực kỳ xuất sắc trong việc chống che khuất vì chỉ cần vài điểm neo không bị che là đủ nhận diện."
4,"Ba tiêu chuẩn vàng để đánh giá một điểm neo đặc trưng hoàn hảo là gì?","Tính độc bản, khả năng lặp lại, và tốc độ tính toán khi so khớp đặc trưng.","Độ phân giải cao, khả năng chống nhiễu mạnh, và kích thước file ảnh nhỏ gọn.","Tính tương thích phần cứng, khả năng nén dữ liệu, và độ trễ mạng thấp nhất.","Số lượng pixel lớn, dung lượng bộ nhớ nhỏ, và tốc độ truyền tải dữ liệu cao.",A,"Một điểm neo hoàn hảo phải tựa trên 3 trụ cột: Tính độc bản (vùng xung quanh có cấu trúc độc đáo), Khả năng lặp lại (tìm lại được dù điều kiện thay đổi), và Tốc độ (đủ nhẹ để chạy thời gian thực)."
5,"Tại sao phương trình y = ax + b không phù hợp để biểu diễn đường thẳng trong Biến đổi Hough?","Vì đường thẳng đứng có hệ số góc a tiến tới vô cực, gây tràn bộ nhớ máy tính.","Vì phương trình này chỉ áp dụng được cho các đường cong parabol trong hệ cực.","Vì hệ tọa độ Descartes không tồn tại trong các ngôn ngữ lập trình hiện đại.","Vì phương trình y = ax + b yêu cầu tọa độ ba chiều mới có thể tính toán được.",A,"Đường thẳng đứng song song trục y có hệ số góc a tiến tới vô cực, máy tính không thể lưu trữ giá trị vô cực trong ma trận dữ liệu, gây lỗi tràn bộ nhớ."
6,"Trong Biến đổi Hough, Ma trận tích lũy (Accumulator Array) hoạt động theo nguyên lý nào?","Mỗi ô trong ma trận được cộng thêm 1 khi có đường cong tham số đi qua nó.","Mỗi ô lưu trữ trực tiếp giá trị cường độ sáng trung bình của vùng ảnh tương ứng.","Mỗi ô được nhân đôi giá trị liên tục cho đến khi đạt ngưỡng tối đa cho phép.","Mỗi ô chứa phương trình toán học hoàn chỉnh của một đường thẳng trong ảnh gốc.",A,"Ma trận tích lũy là bảng kiểm phiếu dạng lưới 2 chiều (ρ, θ). Mỗi khi đường cong ảo lướt qua một ô, ô đó được cộng thêm 1. Ô có giá trị cao nhất chứa phương trình đường thẳng thật."
7,"Hàm cv2.HoughLinesP (Hough xác suất) khác với cv2.HoughLines tiêu chuẩn như thế nào?","HoughLinesP trả về tọa độ điểm đầu và điểm cuối của từng đoạn thẳng cụ thể.","HoughLinesP chỉ hoạt động trên ảnh màu RGB và không hỗ trợ ảnh xám grayscale.","HoughLinesP yêu cầu bắt buộc phải sử dụng GPU để tăng tốc quá trình tính toán.","HoughLinesP tự động phát hiện hình tròn thay vì đường thẳng như HoughLines chuẩn.",A,"HoughLinesP chỉ lấy mẫu xác suất ngẫu nhiên nên rất nhanh, và đầu ra là mảng tọa độ (x1,y1,x2,y2) giới hạn rõ điểm đầu và điểm cuối của từng đoạn thẳng."
8,"Trong thuật toán Harris Corner Detection, Ma trận Cấu trúc (Structure Tensor) M có vai trò gì?","Nén thông tin hình học cục bộ của điểm ảnh vào một ma trận 2x2 từ gradient.","Lưu trữ toàn bộ giá trị pixel của bức ảnh gốc để so sánh trước và sau xử lý.","Thực hiện phép quay ảnh 360 độ để kiểm tra tính bất biến xoay của đặc trưng.","Chuyển đổi ảnh từ không gian màu RGB sang không gian màu HSV để phân tích sắc độ.",A,"Thuật toán Harris dùng Đạo hàm Sobel lấy Gradient ngang (Ix) và dọc (Iy), rồi qua Khai triển Taylor nén thông tin hình học vào ma trận M kích thước 2x2 chứa Ix², IxIy, Iy²."
9,"Khi hai trị riêng λ1 và λ2 của Ma trận M đều lớn và xấp xỉ bằng nhau, điểm ảnh đó được phân loại là gì?","Điểm đó được phân loại là Góc (Corner) vì tín hiệu biến động mạnh theo mọi hướng.","Điểm đó được phân loại là Cạnh (Edge) vì chỉ biến động theo một chiều duy nhất.","Điểm đó được phân loại là Vùng phẳng (Flat) vì không có biến động đáng kể nào.","Điểm đó được phân loại là Nhiễu (Noise) và bị thuật toán loại bỏ khỏi kết quả.",A,"Khi cả hai trị riêng đều lớn, hình Ellipse phân bố gradient trở thành hình tròn (trái bóng), nghĩa là biến động theo mọi hướng đều lớn, đây chính là đặc điểm của Góc."
10,"Thuật toán Shi-Tomasi cải tiến Harris bằng cách thay đổi hàm phản hồi R như thế nào?","Shi-Tomasi dùng R = min(λ1, λ2) thay vì công thức phức tạp chứa hằng số k.","Shi-Tomasi dùng R = max(λ1, λ2) để chỉ chọn trị riêng lớn nhất của ma trận.","Shi-Tomasi dùng R = λ1 + λ2 + k để tính tổng trị riêng cộng thêm hệ số hiệu chỉnh.","Shi-Tomasi dùng R = λ1 × λ2 × k để nhân tất cả trị riêng với hằng số thực nghiệm.",A,"Shi-Tomasi thay thế công thức R = det(M) - k·trace(M)² của Harris bằng R = min(λ1, λ2). Nếu trị riêng nhỏ nhất vẫn vượt ngưỡng thì cả hai đều lớn, chắc chắn là Góc."
