ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Theo giới thiệu của bài giảng, chủ đề cốt lõi của Tiết 4 xoay quanh bộ lọc làm trơn ảnh và khái niệm toán học nào?","Giải phương trình đạo hàm bậc n vô cùng phức tạp.","Bản chất Tích chập.","Quá trình tối ưu hệ thống nhúng vi mạch phần cứng.","Phân tích chuỗi số liệu theo hàm logarit nâng cao.",B,"Tiết 4 tập trung vào ""Bản chất của Tích chập"" (Convolution) và các bộ lọc làm trơn ảnh."
2,"Sự chuyển đổi tư duy quan trọng nhất khi bước vào nội dung Tích chập (Convolution) so với các bài trước là gì?","Từ việc chỉ tập trung mã hóa 1 điểm đến đa mã hóa.","Kiểm soát tất cả thiết bị truyền tin.","Từ xử lý 1 điểm ảnh sang vùng lân cận.","Từ bỏ kiểu phân loại vùng sáng và tập trung lấy viền.",C,"Bài học nhấn mạnh việc chuyển từ Point Processing (xử lý điểm) sang Neighborhood Processing (xử lý vùng lân cận)."
3,"Hạn chế lớn nhất của việc chỉ xử lý điểm ảnh đơn lẻ (Point Processing) đối với ảnh có chứa nhiễu hạt là gì?","Sẽ tiêu tốn một dung lượng bộ nhớ khổng lồ để lưu trữ cấu trúc.","Thuật toán chạy rất chậm.","Gây hiện tượng cháy sáng toàn bộ bức ảnh chân dung.","Thiếu thông tin ngữ cảnh xung quanh.",D,"Nếu chỉ nhìn 1 điểm, máy tính sẽ ""mù mờ"" không phân biệt được đâu là nhiễu, đâu là chi tiết do thiếu thông tin ngữ cảnh."
4,"Trong xử lý ảnh, ""Kernel"" hay ""Mask"" (Mặt nạ) thực chất được định nghĩa là công cụ toán học mang dạng thức gì?","Ma trận số chẵn lẻ.","Một ma trận số kích thước nhỏ chứa trọng số.","Một công cụ cắt ghép ảnh được thiết kế bo tròn.","Chương trình phần mềm tự chèn logo vào trung tâm.",B,"Kernel là một ma trận số có kích thước nhỏ như 3x3, 5x5, chứa các trọng số quyết định cách xử lý vùng lân cận."
5,"Thiết kế cấu trúc ma trận của các Kernel thường luôn mang số đo kích thước lẻ (như 3x3, 5x5) nhằm đáp ứng mục đích thiết yếu gì?","Dễ dàng cho việc tăng vọt tốc độ khi thực hiện đa luồng.","Có một ô nằm chính giữa làm tâm.","Để tạo khung hình chữ nhật thon dài giống như rạp phim.","Giúp bộ nhớ RAM tự động nén dung lượng tập tin xuống.",B,"Ma trận vuông số lẻ (3x3) có một ô trung tâm duy nhất, dùng làm mốc so sánh với các ""hàng xóm"" bao quanh."
6,"Mối quan hệ nguyên nhân - kết quả giữa kích thước của ma trận Kernel và mức độ làm mờ của hệ thống là?","Ma trận càng mở rộng lớn thì màu sắc của hình sẽ càng đẹp.","Cấu trúc càng lớn ảnh càng bị cháy sáng.","Kernel càng to thì thời gian sinh code càng ngắn gọn.","Kernel lớn ảnh hưởng rộng, độ làm mờ cao.",D,"Quy tắc: Kernel có kích thước càng lớn thì vùng ảnh hưởng càng trải rộng, mức độ làm mờ bức ảnh sẽ càng cao."
7,"Cơ chế hoạt động của ""Cửa sổ trượt"" (Sliding Window) diễn ra theo nguyên lý hình học nào?","Mở khung xoáy hình tròn nén tâm.","Quét từ trái qua phải, trên xuống dưới.","Chạy zíc zắc hình chữ Z chéo góc trên màn hình nhị phân.","Toàn bộ hệ thống chạy vòng lặp bắt đầu ngẫu nhiên từ viền.",B,"Cửa sổ trượt đặt tâm Kernel lên pixel, tính toán rồi trượt quét liên tục từ trái qua phải, rồi xuống hàng quét từ trên xuống dưới."
8,"Phép Tích chập tại 1 vùng lân cận được diễn giải bao gồm 3 bước nhịp nhàng. Bước Nhân chập, Cộng tổng và cuối cùng là gì?","Gộp nhóm tất thảy ô dữ liệu.","Chiết xuất các lớp viền ngoài.","Lưu mảng cấu trúc cây ra.","Gán Pixel tâm.",D,"Ba bước của Tích chập là: Nhân chập (nhân trọng số với pixel), Cộng tổng, và Gán giá trị tổng cho pixel trung tâm."
9,"Bản chất thực sự của phép toán Tích chập trong việc làm mịn điểm ảnh được thầy giáo ví von giống với thao tác tính toán đời thường nào?","Đo vẽ bản đồ thời tiết.","Phân nhóm các hạt cà phê.","Tính điểm trung bình có trọng số.","Xác định chỉ số của thước căn lề biên độ.",C,"Tích chập nhân trọng số rồi cộng lại, bản chất y hệt như việc tính điểm trung bình tổng kết môn học có hệ số."
10,"Thao tác ""Padding"" (Đệm) là quá trình bổ sung tính năng gì vào trong các thuật toán xử lý vùng?","Sắp chèn rất nhiều thông tin văn bản mờ nhạt vào góc trong.","Thêm viền số 0 quanh ảnh gốc.","Tăng cường cấu trúc mạng vật lý tại trung tâm máy chủ ngầm.","Loại bỏ dần dần đi các hàng ở phía đáy của hình để giảm size.",B,"Padding chèn một lớp đệm bằng các giá trị 0 bao quanh mép ảnh để tâm Kernel có thể trượt tới, chống hiện tượng ảnh đầu ra bị co ngót biên."
